ID,ObjectType,Rate,Metatitle,CitesNum,CitedByNum,AppearsInNum,URL
SCP-030-JP,Keter,+270,石油喰らい,0,4,10,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-030-jp
SCP-031-JP,Safe,+172,ヴォラレフィリア,1,1,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-031-jp
SCP-040-JP,Safe,+921,ねこですよろしくおねがいします,1,1,11,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-040-jp
SCP-044-JP,Euclid,+120,繁栄の果実,0,2,3,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-044-jp
SCP-052-JP,Safe,+45,護符,0,1,3,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-052-jp
SCP-064-JP,Euclid,+86,ピッグス粒子,0,1,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-064-jp
SCP-073-JP,Safe,+39,ザリガニ池,0,2,4,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-073-jp
SCP-079-JP,Euclid,+144,GET・嘔吐,0,1,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-079-jp
SCP-086-JP,Keter,+193,ゾンビウイルス,0,1,2,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-086-jp
SCP-092-JP,Safe,+127,あなたの人生、盛り上げます！,0,2,0,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-092-jp
SCP-097-JP,Safe,+97,ミスター・ずぶずぶ,0,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-097-jp
SCP-107-JP,Euclid,+51,アブサン・アベニュー,0,2,3,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-107-jp
SCP-115-JP,Euclid,+152,鵺,0,1,7,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-115-jp
SCP-131-JP,Euclid,+91,全てが鉄になる,1,0,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-131-jp
SCP-132-JP,Euclid,+374,紙魚入る,0,1,7,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-132-jp
SCP-170-JP,Euclid,+52,本懐,1,0,0,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-170-jp
SCP-183-JP,Euclid,+254,繁栄の街灯,0,4,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-183-jp
SCP-187-JP,Euclid,+60,期待のニュー・フェイス,0,2,2,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-187-jp
SCP-192-JP,Euclid,+225,私達のTOKYO,0,1,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-192-jp
SCP-201-JP,Euclid,+113,次元ヤマノテ線,0,1,2,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-201-jp
SCP-216-JP,Safe,+135,タブーなんてない,1,1,2,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-216-jp
SCP-233-JP,Euclid,+157,押入れの冒険,0,1,5,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-233-jp
SCP-281-JP,Safe,+110,帰郷,1,0,2,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-281-jp
SCP-295-JP,Euclid,+89,必要悪の幽霊,0,1,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-295-jp
SCP-302-JP,Euclid,+40,「無題　脂絵」,0,1,1,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-302-jp
SCP-305-JP,Euclid,+70,特装版サーチ・アルバイト！,2,0,0,https://iwasaki501.github.io/ternbusty/scp_by_series_jp/series1.html#scp-305-jp
